# Matter power spectrum P(k) at redshift z=99
# for k=1.04206e-05 to 742.666 h/Mpc,
# number of wavenumbers equal to 414
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       7.297948882561e-03 
       1.091167861863e-05       7.628493973567e-03 
       1.142593018872e-05       7.974010292906e-03 
       1.196441768865e-05       8.335175938322e-03 
       1.252828332259e-05       8.712698928212e-03 
       1.311872312515e-05       9.107321703477e-03 
       1.373698949832e-05       9.519817975542e-03 
       1.438439386797e-05       9.950997370094e-03 
       1.506230946556e-05       1.040170598463e-02 
       1.577217424096e-05       1.087283008497e-02 
       1.651549391254e-05       1.136529055131e-02 
       1.729384516098e-05       1.188005598743e-02 
       1.810887897364e-05       1.241813644284e-02 
       1.896232414650e-05       1.298058806674e-02 
       1.985599095119e-05       1.356851424169e-02 
       2.079177497483e-05       1.418306920634e-02 
       2.177166114080e-05       1.482545871006e-02 
       2.279772791902e-05       1.549694291231e-02 
       2.387215173470e-05       1.619884087229e-02 
       2.499721158481e-05       1.693252884728e-02 
       2.617529387212e-05       1.769944717848e-02 
       2.740889746712e-05       1.850109950016e-02 
       2.870063900842e-05       1.933906113116e-02 
       3.005325845302e-05       2.021497547171e-02 
       3.146962488811e-05       2.113056137361e-02 
       3.295274261680e-05       2.208761550187e-02 
       3.450575753062e-05       2.308801589603e-02 
       3.613196378243e-05       2.413372560026e-02 
       3.783481077373e-05       2.522679653320e-02 
       3.961791047127e-05       2.636937366263e-02 
       4.148504506860e-05       2.756369910626e-02 
       4.344017500851e-05       2.881211584875e-02 
       4.548744738373e-05       3.011707323032e-02 
       4.763120473347e-05       3.148113299408e-02 
       4.987599425447e-05       3.290696834984e-02 
       5.222657744628e-05       3.439738084940e-02 
       5.468794021099e-05       3.595529223399e-02 
       5.726530342903e-05       3.758375821593e-02 
       5.996413403334e-05       3.928597628427e-02 
       6.279015660546e-05       4.106528197222e-02 
       6.574936551816e-05       4.292516915110e-02 
       6.884803765030e-05       4.486928279820e-02 
       7.209274570091e-05       4.690143912305e-02 
       7.549037213080e-05       4.902562181383e-02 
       7.904812376114e-05       5.124599679233e-02 
       8.277354706016e-05       5.356691926359e-02 
       8.667454415012e-05       5.599294118888e-02 
       9.075938956889e-05       5.852881758548e-02 
       9.503674782126e-05       6.117952132034e-02 
       9.951569175756e-05       6.395024796517e-02 
       1.042057218184e-04       6.684643039119e-02 
       1.091167861863e-04       6.987374360487e-02 
       1.142593018872e-04       7.303812035714e-02 
       1.196441768865e-04       7.634576175891e-02 
       1.252828332259e-04       7.980314758043e-02 
       1.311872312515e-04       8.341705025255e-02 
       1.373698949832e-04       8.719454727768e-02 
       1.438439386797e-04       9.114303558043e-02 
       1.506230946556e-04       9.527024467416e-02 
       1.577217424096e-04       9.958425183064e-02 
       1.651549391254e-04       1.040934982313e-01 
       1.729384516098e-04       1.088068048148e-01 
       1.810887897364e-04       1.137333876928e-01 
       1.896232414650e-04       1.188828771410e-01 
       1.985599095119e-04       1.242653350296e-01 
       2.079177497483e-04       1.298912739408e-01 
       2.177166114080e-04       1.357716784226e-01 
       2.279772791902e-04       1.419180213375e-01 
       2.387215173470e-04       1.483422899629e-01 
       2.499721158481e-04       1.550570052606e-01 
       2.617529387212e-04       1.620752451834e-01 
       2.740889746712e-04       1.694106697682e-01 
       2.870063900842e-04       1.770775425831e-01 
       3.005325845302e-04       1.850907611006e-01 
       3.146962488811e-04       1.934658793824e-01 
       3.295274261680e-04       2.022191373742e-01 
       3.450575753062e-04       2.113674869568e-01 
       3.613196378243e-04       2.209286246242e-01 
       3.783481077373e-04       2.309210160812e-01 
       3.961791047127e-04       2.413639335489e-01 
       4.148504506860e-04       2.522774822021e-01 
       4.344017500851e-04       2.636826341625e-01 
       4.548744738373e-04       2.756012616352e-01 
       4.763120473347e-04       2.880561697033e-01 
       4.987599425447e-04       3.010711335705e-01 
       5.222657744628e-04       3.146709246373e-01 
       5.468794021099e-04       3.288813562368e-01 
       5.726530342903e-04       3.437293099708e-01 
       5.996413403334e-04       3.592427673768e-01 
       6.279015660546e-04       3.754508620145e-01 
       6.574936551816e-04       3.923838839750e-01 
       6.884803765030e-04       4.100733362963e-01 
       7.209274570091e-04       4.285519543133e-01 
       7.549037213080e-04       4.478537365581e-01 
       7.904812376115e-04       4.680139638773e-01 
       8.277354706016e-04       4.890692356002e-01 
       8.667454415012e-04       5.110574730933e-01 
       9.075938956889e-04       5.340179461536e-01 
       9.503674782126e-04       5.579912691778e-01 
       9.951569175756e-04       5.830194099895e-01 
       1.042057218184e-03       6.091456773297e-01 
       1.091167861863e-03       6.364147074772e-01 
       1.142593018872e-03       6.648724308775e-01 
       1.196441768865e-03       6.945660369343e-01 
       1.252828332259e-03       7.255439086617e-01 
       1.311872312515e-03       7.578555490974e-01 
       1.373698949832e-03       7.915486201637e-01 
       1.438439386797e-03       8.266754850365e-01 
       1.506230946556e-03       8.632898189108e-01 
       1.577217424096e-03       9.014443469254e-01 
       1.651549391254e-03       9.411921612789e-01 
       1.729384516098e-03       9.825864921212e-01 
       1.810887897364e-03       1.025680385371e+00 
       1.896232414650e-03       1.070526391036e+00 
       1.985599095119e-03       1.117176160356e+00 
       2.079177497483e-03       1.165680021210e+00 
       2.177166114080e-03       1.216086450171e+00 
       2.279772791902e-03       1.268441468417e+00 
       2.387215173470e-03       1.322788102049e+00 
       2.499721158481e-03       1.379165475928e+00 
       2.617529387212e-03       1.437608167282e+00 
       2.740889746712e-03       1.498145280243e+00 
       2.870063900842e-03       1.560799379907e+00 
       3.005325845302e-03       1.625585526520e+00 
       3.146962488811e-03       1.692510049527e+00 
       3.295274261680e-03       1.761569455072e+00 
       3.450575753062e-03       1.832748995799e+00 
