# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.04206e-05 to 742.666 h/Mpc,
# number of wavenumbers equal to 414
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_tot              
       1.042057218184e-05      -1.589235247490e-05      -1.191931423310e-05      -1.191931465127e-05      -1.589234454869e-05      -1.192091660523e-05      -1.203261521930e-05       6.121839453517e-01       5.968471614470e-01      -1.509247359963e-13      -1.328664188945e-16      -1.607685218815e-13      -5.856817533000e-15 
       1.091167861863e-05      -1.742561067061e-05      -1.306926796819e-05      -1.306926847095e-05      -1.742560114121e-05      -1.307102499012e-05      -1.319349985304e-05       6.121839222478e-01       5.968471489074e-01      -1.814513880894e-13      -1.597422522569e-16      -1.932862093546e-13      -7.041441436572e-15 
       1.142593018872e-05      -1.910679328274e-05      -1.433016705610e-05      -1.433016766055e-05      -1.910678182588e-05      -1.433209364513e-05      -1.446638439669e-05       6.121838937305e-01       5.968471317582e-01      -2.181524770600e-13      -1.920532191644e-16      -2.323810551374e-13      -8.465671856913e-15 
       1.196441768865e-05      -2.095017147994e-05      -1.571271528605e-05      -1.571271601275e-05      -2.095015770576e-05      -1.571482781378e-05      -1.586207437394e-05       6.121838598045e-01       5.968471106487e-01      -2.622768656825e-13      -2.308999527564e-16      -2.793833675792e-13      -1.017797246915e-14 
       1.252828332259e-05      -2.297139226133e-05      -1.722864840355e-05      -1.722864927724e-05      -2.297137570114e-05      -1.723096478208e-05      -1.739241707157e-05       6.121837949541e-01       5.968470592917e-01      -3.153260300172e-13      -2.775995905217e-16      -3.358925449706e-13      -1.223660903195e-14 
       1.311872312515e-05      -2.518761509057e-05      -1.889083660292e-05      -1.889083765333e-05      -2.518759518086e-05      -1.889337654354e-05      -1.907040500577e-05       6.121837511276e-01       5.968470306875e-01      -3.791051064174e-13      -3.337486583575e-16      -4.038314610793e-13      -1.471163317532e-14 
       1.373698949832e-05      -2.761765190335e-05      -2.071338955316e-05      -2.071339081603e-05      -2.761762796663e-05      -2.071617463926e-05      -2.091028194551e-05       6.121837021839e-01       5.968469985004e-01      -4.557843707987e-13      -4.012545629439e-16      -4.855119281325e-13      -1.768726436312e-14 
       1.438439386797e-05      -3.028213057933e-05      -2.271177902630e-05      -2.271178054460e-05      -3.028210180109e-05      -2.271483293365e-05      -2.292766670597e-05       6.121836509258e-01       5.968469656722e-01      -5.479730491249e-13      -4.824154373993e-16      -5.837133773358e-13      -2.126475729978e-14 
       1.506230946556e-05      -3.320366874558e-05      -2.490296927932e-05      -2.490297110473e-05      -3.320363414654e-05      -2.490631796119e-05      -2.513968476874e-05       6.121835939243e-01       5.968469285763e-01      -6.588081277369e-13      -5.799915555457e-16      -7.017773863665e-13      -2.556584614411e-14 
       1.577217424096e-05      -3.640706881258e-05      -2.730556336653e-05      -2.730556556114e-05      -3.640702721545e-05      -2.730923545081e-05      -2.756511598390e-05       6.121835768452e-01       5.968469350522e-01      -7.920610623877e-13      -6.973345462670e-16      -8.437213332530e-13      -3.073689057843e-14 
       1.651549391254e-05      -3.991951731340e-05      -2.993995268615e-05      -2.993995532466e-05      -3.991946730271e-05      -2.994397921541e-05      -3.022454553679e-05       6.121834993066e-01       5.968468816607e-01      -9.522661852922e-13      -8.383749451718e-16      -1.014375354282e-12      -3.695384253966e-14 
